Time,Temperature,Humidity
2020-10-29 12:45:04,23.2,48.5
2020-10-29 12:46:10,23.2,48.5
2020-10-29 12:47:02,23.2,48.5
2020-10-29 12:48:01,23.2,48.4
2020-10-29 12:49:02,23.1,48.4
2020-10-29 12:50:05,23.1,48.4
2020-10-29 12:51:04,23.2,48.4
2020-10-29 12:52:02,23.1,48.4
2020-10-29 12:53:02,23.2,48.4
2020-10-29 12:54:04,23.2,48.3
2020-10-29 12:55:02,23.2,48.3
2020-10-29 12:56:02,23.2,48.3
2020-10-29 12:57:02,23.2,48.3
2020-10-29 12:58:02,23.2,48.3
2020-10-29 12:59:02,23.2,48.3
2020-10-29 13:00:02,23.2,48.3
2020-10-29 13:01:01,23.2,48.3
2020-10-29 13:02:02,23.2,48.2
2020-10-29 13:03:02,23.2,48.3
2020-10-29 13:04:04,23.2,48.2
2020-10-29 13:05:04,23.2,48.1
2020-10-29 13:06:01,23.1,48.1
2020-10-29 13:07:02,23.1,48.1
2020-10-29 13:08:02,23.1,48.1
2020-10-29 13:09:01,23.1,48.0
2020-10-29 13:10:04,23.1,48.0
2020-10-29 13:11:02,23.1,48.0
2020-10-29 13:12:01,23.1,48.0
2020-10-29 13:13:01,23.1,48.0
2020-10-29 13:14:02,23.1,48.0
2020-10-29 13:15:05,23.1,48.0
2020-10-29 13:16:01,23.1,48.0
2020-10-29 13:17:02,23.1,48.0
2020-10-29 13:18:02,23.1,48.0
2020-10-29 13:19:01,23.1,48.0
2020-10-29 13:20:15,23.1,47.9
2020-10-29 13:21:02,23.1,47.9
2020-10-29 13:22:02,23.1,47.9
2020-10-29 13:23:02,23.1,47.9
2020-10-29 13:24:02,23.1,47.9
2020-10-29 13:25:02,23.1,47.9
2020-10-29 13:26:04,23.1,47.9
2020-10-29 13:27:02,23.1,47.9
2020-10-29 13:28:02,23.1,47.9
2020-10-29 13:29:02,23.1,47.9
2020-10-29 13:30:22,23.1,47.5
2020-10-29 13:31:02,23.1,47.9
2020-10-29 13:32:02,23.1,47.8
2020-10-29 13:33:02,23.0,47.8
2020-10-29 13:34:01,23.0,47.8
2020-10-29 13:35:05,23.0,47.8
2020-10-29 13:36:02,23.0,47.8
2020-10-29 13:37:01,23.0,47.9
2020-10-29 13:38:02,23.0,47.8
2020-10-29 13:39:02,23.0,47.9
2020-10-29 13:40:22,23.0,47.8
2020-10-29 13:41:02,23.0,47.8
2020-10-29 13:42:02,23.0,47.8
2020-10-29 13:43:02,23.0,47.8
2020-10-29 13:44:02,23.0,47.8
2020-10-29 13:45:09,23.0,47.8
2020-10-29 13:46:07,23.0,47.9
2020-10-29 13:47:02,23.0,47.8
2020-10-29 13:48:02,23.0,47.8
2020-10-29 13:49:01,23.0,47.8
2020-10-29 13:50:24,23.0,47.8
2020-10-29 13:51:02,23.0,47.8
2020-10-29 13:52:02,23.0,47.8
2020-10-29 13:53:04,23.0,47.8
2020-10-29 13:54:02,23.0,47.8
2020-10-29 13:55:07,23.0,47.8
2020-10-29 13:56:02,23.0,47.8
2020-10-29 13:57:02,23.0,47.8
2020-10-29 13:58:02,23.0,47.8
2020-10-29 13:59:02,23.0,47.8
2020-10-29 14:00:09,23.0,47.8
2020-10-29 14:01:05,23.0,47.8
2020-10-29 14:02:02,23.0,47.8
2020-10-29 14:03:02,23.0,47.8
2020-10-29 14:04:01,23.0,47.7
2020-10-29 14:05:02,23.0,47.8
2020-10-29 14:06:02,23.0,47.9
2020-10-29 14:07:02,23.0,47.8
2020-10-29 14:08:02,23.0,47.8
2020-10-29 14:09:01,23.0,47.8
2020-10-29 14:10:05,23.0,47.8
